StudentID,Age,Gender,Program,Year,CGPA,AttendancePercent,Scholarship,DistanceKM,ParentsEducation,FamilyIncome,PlacementStatus,Internship,ExtraCurricularScore,SatisfactionScore,EngagementScore,FeesPendingMonths,ModeOfStudy,CounselingSessions,MentorAssigned,PreviousInstitution,Churn
S005111,18,Male,ECE,3,7.38,55.5,Yes,1.1,Professional,<2L,Not Placed,Yes,3.8,6.8,63,2,Offline,0,Yes,Private,1
S005112,20,Male,IT,3,6.52,70.8,No,17.6,Graduate,5-10L,Not Placed,Yes,5.5,3.9,44,1,Offline,1,Yes,Public,1
S005113,22,Male,IT,4,6.81,92.2,No,4.0,Graduate,10-20L,Placed,No,5.1,8.9,56,0,Offline,1,No,Public,0
S005114,20,Male,EEE,3,6.33,75.3,No,3.1,Graduate,<2L,Partially Placed,No,6.1,9.0,41,0,Offline,1,Yes,Private,0
S005115,21,Male,EEE,4,6.26,81.7,No,13.0,Graduate,2-5L,Not Placed,No,3.8,6.0,68,0,Hybrid,1,No,Public,0
S005116,22,Female,EEE,4,8.12,87.6,No,18.8,High School,10-20L,Partially Placed,No,6.1,5.0,56,0,Online,0,Yes,Public,0
S005117,20,Male,ME,3,6.65,67.6,Yes,0.7,High School,2-5L,Not Placed,Yes,0.2,6.3,62,1,Offline,1,No,Private,0
S005118,17,Male,IT,3,6.38,67.6,No,11.4,No formal,10-20L,Not Placed,No,7.5,5.4,57,0,Hybrid,0,Yes,Public,0
S005119,18,Male,Civil,4,8.59,53.1,No,12.9,Postgraduate,2-5L,Placed,No,5.2,2.5,86,0,Offline,0,Yes,Public,0
S005120,19,Male,CSE,3,7.06,75.8,No,1.3,Graduate,2-5L,Not Placed,No,7.3,5.9,76,0,Online,0,Yes,Boarding,0
S005121,20,Male,IT,3,8.07,89.4,No,13.9,High School,<2L,Not Placed,Yes,4.3,5.9,60,1,Offline,0,Yes,Public,0
S005122,21,Male,AEIE,3,5.52,76.6,Yes,20.8,High School,5-10L,Not Placed,No,7.9,8.0,66,0,Offline,0,No,Private,1
S005123,19,Male,Civil,1,6.82,76.2,No,0.9,Graduate,5-10L,Partially Placed,No,6.6,4.9,55,0,Offline,1,Yes,Public,0
S005124,19,Female,AEIE,2,6.08,75.2,No,16.0,High School,5-10L,Not Placed,No,2.1,5.9,50,0,Online,4,Yes,Boarding,0
S005125,21,Male,CSE,4,5.73,60.2,No,6.7,Graduate,10-20L,Not Placed,Yes,7.4,8.5,62,3,Offline,0,No,Public,1
S005126,19,Female,CE,3,7.59,75.1,No,15.0,Graduate,2-5L,Not Placed,Yes,7.0,7.6,66,1,Offline,0,No,Public,0
S005127,22,Male,EEE,3,7.76,82.4,No,23.6,Graduate,2-5L,Not Placed,No,7.6,6.6,64,0,Hybrid,2,Yes,Private,0
S005128,20,Female,IT,1,8.05,83.0,No,1.0,High School,2-5L,Not Placed,No,9.4,6.2,77,1,Offline,0,Yes,Private,0
S005129,21,Male,CE,4,5.73,58.1,No,1.4,Professional,5-10L,Not Placed,No,9.1,6.7,46,0,Offline,0,No,Boarding,0
S005130,18,Female,Civil,2,7.36,81.7,No,10.3,High School,2-5L,Not Placed,Yes,7.1,7.6,73,1,Hybrid,1,Yes,Public,0
S005131,21,Male,EEE,4,6.7,71.6,No,2.5,High School,<2L,Placed,Yes,7.4,7.5,60,0,Offline,0,Yes,Private,0
S005132,21,Male,EEE,3,7.16,72.5,No,19.8,No formal,<2L,Not Placed,No,5.0,7.8,68,0,Online,0,Yes,Private,0
S005133,19,Male,AEIE,2,8.16,85.1,No,16.4,Professional,2-5L,Not Placed,No,7.0,9.2,66,1,Offline,1,Yes,Boarding,0
S005134,20,Male,CSE,2,6.79,91.6,No,5.3,High School,>20L,Not Placed,No,7.8,5.7,57,0,Online,0,Yes,Private,0
S005135,16,Male,EEE,3,7.86,88.0,No,18.0,High School,<2L,Not Placed,Yes,4.9,9.9,68,0,Online,1,Yes,Private,0
S005136,18,Female,CSE,4,7.56,88.5,No,13.1,Professional,<2L,Not Placed,Yes,8.3,9.0,64,0,Online,1,No,Public,1
S005137,20,Female,ME,4,7.57,80.2,No,6.0,High School,2-5L,Placed,Yes,5.9,6.2,64,0,Offline,0,Yes,Boarding,0
S005138,18,Male,Civil,3,6.76,57.6,No,13.1,High School,2-5L,Not Placed,Yes,6.0,8.7,79,0,Offline,1,Yes,Public,1
S005139,17,Male,ECE,2,6.49,73.5,Yes,11.6,Postgraduate,2-5L,Not Placed,No,4.4,4.8,74,0,Hybrid,0,No,Private,1
S005140,19,Female,AEIE,1,7.61,77.8,No,2.6,Graduate,2-5L,Not Placed,No,5.2,6.3,56,0,Offline,0,No,Public,1
S005141,17,Male,AEIE,2,6.67,84.4,No,1.7,No formal,2-5L,Not Placed,No,3.8,5.5,56,0,Offline,0,Yes,Public,0
S005142,20,Male,ECE,1,6.8,69.6,No,19.1,High School,<2L,Not Placed,No,5.0,6.9,61,1,Online,0,Yes,Public,1
S005143,19,Female,CSE,3,8.05,87.4,No,6.9,Postgraduate,5-10L,Not Placed,No,3.8,7.2,53,2,Offline,2,No,Public,0
S005144,22,Male,CSE,3,7.56,80.8,No,4.4,Graduate,2-5L,Not Placed,No,6.7,7.9,56,1,Offline,0,Yes,Junior College,0
S005145,21,Male,CE,2,7.78,86.2,No,18.7,Graduate,2-5L,Not Placed,No,10.0,6.2,72,1,Offline,3,No,Public,0
S005146,17,Male,IT,1,6.79,59.1,No,29.4,Graduate,2-5L,Not Placed,No,8.9,6.4,56,0,Offline,1,No,Public,0
S005147,19,Male,ME,1,7.13,78.5,No,6.7,High School,2-5L,Not Placed,No,6.7,4.5,61,1,Hybrid,0,No,Private,0
S005148,18,Male,Civil,2,7.48,73.1,No,11.2,No formal,2-5L,Not Placed,No,7.7,7.1,62,1,Online,1,No,Private,0
S005149,21,Male,CSE,2,6.54,90.5,No,4.1,Postgraduate,<2L,Not Placed,Yes,6.5,4.2,72,1,Offline,0,Yes,Private,0
S005150,19,Female,ME,2,6.58,79.6,No,14.3,Postgraduate,2-5L,Not Placed,No,7.2,10.0,59,0,Offline,1,Yes,Private,0
S005151,18,Female,IT,1,6.95,62.1,No,11.4,Postgraduate,<2L,Partially Placed,Yes,7.1,6.3,79,1,Offline,0,Yes,Private,0
S005152,20,Male,ME,2,6.96,93.3,No,19.4,Graduate,2-5L,Not Placed,No,9.3,6.9,67,2,Offline,1,Yes,Public,1
S005153,18,Female,EEE,3,7.38,58.1,Yes,1.3,Professional,10-20L,Placed,No,3.2,4.8,71,1,Offline,1,Yes,Public,0
S005154,19,Other,EEE,4,7.96,89.9,No,6.2,Professional,<2L,Not Placed,No,3.0,8.1,38,0,Offline,1,Yes,Junior College,0
S005155,21,Male,ME,1,7.76,65.8,No,2.2,Professional,5-10L,Not Placed,No,7.9,3.4,69,0,Online,1,Yes,Other,0
S005156,19,Female,EEE,1,7.4,58.1,No,3.1,Graduate,2-5L,Not Placed,No,5.6,8.4,77,0,Offline,0,No,Private,0
S005157,20,Male,IT,3,8.1,90.6,No,26.0,High School,<2L,Not Placed,No,7.7,7.4,76,0,Hybrid,0,Yes,Private,0
S005158,19,Male,ME,3,6.64,90.9,Yes,2.6,High School,<2L,Not Placed,No,1.7,7.8,71,0,Offline,1,Yes,Private,0
S005159,18,Female,Civil,1,6.99,72.7,No,5.3,High School,2-5L,Not Placed,No,5.5,5.0,67,1,Offline,0,No,Public,0
S005160,20,Male,IT,1,8.14,91.4,No,1.4,Postgraduate,<2L,Not Placed,No,5.4,6.1,74,0,Offline,0,Yes,Private,0
S005161,20,Male,IT,3,8.52,78.9,No,11.3,High School,5-10L,Not Placed,No,6.5,5.6,58,1,Hybrid,1,Yes,Public,0
S005162,17,Female,AEIE,1,7.72,64.6,No,3.5,Graduate,2-5L,Not Placed,No,4.3,5.8,72,2,Online,2,Yes,Public,0
S005163,20,Male,CE,3,6.47,84.2,No,2.1,High School,<2L,Not Placed,No,6.4,6.4,83,1,Online,0,Yes,Private,0
S005164,19,Female,ME,2,7.11,81.2,No,21.3,No formal,10-20L,Not Placed,No,5.0,7.0,66,0,Offline,1,Yes,Public,0
S005165,21,Male,EEE,3,6.55,88.1,No,1.1,No formal,2-5L,Not Placed,Yes,4.5,7.8,71,3,Hybrid,1,Yes,Private,0
S005166,20,Female,EEE,3,7.92,61.4,No,3.0,High School,2-5L,Not Placed,No,3.0,6.2,73,0,Hybrid,2,No,Public,0
S005167,19,Male,CSE,3,7.04,73.0,No,30.6,High School,5-10L,Not Placed,No,4.1,7.8,63,0,Online,0,Yes,Private,1
S005168,21,Male,IT,3,7.11,86.3,No,1.9,High School,5-10L,Placed,No,5.1,8.3,76,1,Offline,1,No,Public,1
S005169,18,Female,ECE,2,6.69,85.7,No,8.7,Postgraduate,10-20L,Not Placed,No,10.0,6.4,55,0,Offline,2,Yes,Other,0
S005170,20,Male,ECE,4,6.07,73.3,No,5.6,High School,2-5L,Not Placed,No,4.0,5.9,76,0,Offline,1,Yes,Private,0
S005171,22,Female,AEIE,2,6.15,86.9,No,4.6,High School,2-5L,Not Placed,No,3.5,5.9,64,0,Offline,0,No,Junior College,0
S005172,20,Male,IT,4,8.05,75.7,No,0.0,Graduate,<2L,Not Placed,No,3.3,7.4,76,0,Offline,1,Yes,Private,0
S005173,22,Male,EEE,3,6.9,98.4,No,13.5,High School,>20L,Not Placed,No,6.7,7.4,65,1,Offline,3,Yes,Boarding,0
S005174,18,Male,ECE,2,8.25,79.0,Yes,4.1,Graduate,<2L,Not Placed,Yes,6.0,6.3,52,0,Hybrid,0,Yes,Junior College,0
S005175,19,Male,CSE,1,5.9,64.8,Yes,14.9,No formal,2-5L,Not Placed,No,4.0,5.7,43,1,Online,0,Yes,Private,0
S005176,21,Female,ECE,1,7.35,76.5,No,8.6,High School,5-10L,Not Placed,No,5.1,5.6,44,1,Online,0,Yes,Private,0
S005177,21,Male,Civil,3,8.16,99.1,No,8.7,Graduate,10-20L,Not Placed,No,7.8,5.8,55,1,Online,0,Yes,Private,1
S005178,17,Female,AEIE,1,6.62,76.8,No,10.0,High School,2-5L,Not Placed,No,7.6,8.5,82,0,Online,0,No,Public,0
S005179,19,Male,IT,1,5.16,55.9,No,32.6,Graduate,2-5L,Not Placed,No,5.7,6.9,55,1,Hybrid,0,Yes,Private,1
S005180,19,Other,IT,1,7.59,77.0,No,8.9,Graduate,>20L,Not Placed,No,3.2,5.7,73,0,Offline,1,Yes,Private,0
S005181,19,Male,EEE,3,5.45,81.2,No,0.5,High School,5-10L,Not Placed,No,4.1,7.8,58,0,Hybrid,0,No,Public,0
S005182,21,Female,CE,3,8.66,74.6,No,3.6,High School,10-20L,Partially Placed,No,6.0,6.7,70,1,Offline,1,No,Private,1
S005183,17,Female,EEE,3,7.84,87.9,Yes,5.6,High School,>20L,Not Placed,No,7.8,6.8,60,2,Online,0,No,Other,0
S005184,20,Male,ME,4,7.14,81.6,No,20.6,Graduate,2-5L,Partially Placed,No,6.0,6.0,49,1,Hybrid,0,Yes,Private,0
S005185,18,Male,AEIE,2,7.34,89.9,No,4.0,High School,<2L,Placed,No,2.9,8.8,59,0,Offline,0,Yes,Private,0
S005186,18,Male,IT,3,7.92,87.0,No,1.8,Graduate,2-5L,Partially Placed,No,8.4,6.1,73,0,Offline,0,Yes,Public,0
S005187,19,Female,Civil,4,8.68,83.6,No,5.9,Postgraduate,2-5L,Partially Placed,No,6.2,5.2,59,1,Online,0,No,Public,0
S005188,18,Male,CSE,1,6.49,91.4,No,14.3,High School,2-5L,Not Placed,No,6.8,5.4,71,0,Hybrid,2,No,Public,0
S005189,21,Male,IT,2,8.81,75.3,No,13.8,Graduate,<2L,Not Placed,Yes,7.5,5.6,73,1,Offline,1,Yes,Public,0
S005190,21,Female,CE,1,6.83,77.6,No,11.4,No formal,2-5L,Not Placed,No,7.7,7.9,46,0,Offline,0,Yes,Public,0
S005191,19,Male,CE,1,5.65,70.9,No,0.3,Graduate,2-5L,Not Placed,No,7.0,4.7,88,2,Online,0,No,Junior College,1
S005192,17,Male,IT,2,7.73,89.1,No,17.5,High School,>20L,Not Placed,No,7.9,9.7,77,2,Offline,2,No,Private,1
S005193,17,Male,EEE,3,5.94,84.8,No,13.3,High School,<2L,Not Placed,No,8.7,8.5,60,0,Offline,0,Yes,Private,0
S005194,20,Female,CSE,4,6.49,95.3,No,10.2,Postgraduate,<2L,Placed,Yes,2.9,5.9,63,0,Offline,1,Yes,Public,0
S005195,21,Female,IT,1,6.46,74.0,No,7.0,Postgraduate,10-20L,Not Placed,No,5.9,5.7,69,1,Hybrid,1,Yes,Private,1
S005196,21,Female,CE,2,8.2,63.4,No,6.9,Graduate,>20L,Not Placed,No,6.0,7.2,61,1,Offline,0,Yes,Public,0
S005197,20,Female,CSE,2,6.22,90.1,No,12.8,High School,2-5L,Not Placed,No,5.3,8.7,66,1,Offline,0,Yes,Private,0
S005198,20,Female,EEE,2,6.01,68.4,Yes,9.0,High School,<2L,Not Placed,Yes,7.4,4.5,71,0,Offline,1,Yes,Private,0
S005199,22,Male,CSE,3,7.6,90.9,No,8.5,Professional,5-10L,Not Placed,No,5.8,6.3,62,1,Online,0,No,Private,0
S005200,18,Female,ECE,3,7.63,83.7,No,1.8,No formal,<2L,Not Placed,No,6.1,8.0,39,0,Offline,0,Yes,Private,0
S005201,19,Male,EEE,2,8.1,79.3,No,11.3,High School,2-5L,Not Placed,No,7.5,5.5,63,0,Hybrid,1,Yes,Boarding,0
S005202,19,Female,IT,4,7.0,88.4,No,18.9,High School,10-20L,Not Placed,Yes,6.9,6.9,68,0,Offline,2,Yes,Private,0
S005203,18,Female,ECE,4,7.75,72.8,Yes,3.6,Graduate,2-5L,Not Placed,No,6.2,7.2,58,0,Offline,0,Yes,Public,0
S005204,16,Female,IT,1,8.22,79.4,Yes,1.7,Graduate,10-20L,Not Placed,No,5.6,6.3,73,0,Hybrid,1,Yes,Private,1
S005205,21,Male,CE,2,6.51,85.9,No,8.4,Graduate,2-5L,Not Placed,No,3.1,4.6,60,0,Online,1,Yes,Private,0
S005206,19,Female,IT,4,7.91,80.3,No,20.0,Postgraduate,2-5L,Partially Placed,No,5.7,4.6,62,0,Offline,1,Yes,Public,0
S005207,22,Male,CE,3,8.08,73.5,No,12.2,Postgraduate,<2L,Not Placed,No,5.1,3.6,78,0,Offline,0,Yes,Junior College,0
S005208,19,Female,Civil,2,6.72,61.0,No,3.9,Postgraduate,2-5L,Not Placed,No,4.9,6.2,60,0,Offline,1,No,Public,0
S005209,21,Female,ECE,2,8.1,79.3,No,25.6,Postgraduate,2-5L,Not Placed,Yes,6.4,7.3,44,0,Hybrid,0,No,Public,0
S005210,21,Female,EEE,4,8.37,79.1,No,2.5,High School,2-5L,Placed,No,4.0,7.0,65,0,Offline,0,No,Public,0
S005211,20,Male,CSE,4,7.93,75.0,No,13.1,High School,2-5L,Not Placed,No,0.6,7.4,66,0,Offline,1,Yes,Junior College,0
S005212,18,Male,CE,2,7.04,70.4,No,17.3,High School,2-5L,Not Placed,No,4.4,6.1,73,2,Offline,0,Yes,Public,0
S005213,20,Female,EEE,4,7.3,50.7,No,11.1,No formal,5-10L,Partially Placed,Yes,0.7,6.2,76,0,Hybrid,1,Yes,Public,0
S005214,21,Female,CE,2,7.51,54.2,No,2.6,Postgraduate,>20L,Not Placed,Yes,4.9,6.3,66,0,Offline,0,Yes,Public,0
S005215,20,Male,AEIE,3,7.72,95.4,No,9.8,Professional,<2L,Not Placed,No,5.2,4.8,67,0,Offline,2,No,Junior College,0
S005216,22,Male,ECE,1,7.48,62.1,No,40.3,Graduate,5-10L,Not Placed,No,6.5,6.9,58,0,Online,1,Yes,Private,0
S005217,18,Male,AEIE,4,7.04,74.7,Yes,10.5,High School,<2L,Not Placed,No,4.8,7.6,64,2,Offline,0,Yes,Junior College,1
S005218,20,Male,AEIE,3,6.19,93.0,No,4.1,Graduate,<2L,Not Placed,No,5.0,4.9,38,0,Offline,0,No,Public,1
S005219,20,Male,Civil,2,6.68,91.7,No,11.0,No formal,2-5L,Not Placed,No,3.2,7.4,59,0,Online,1,Yes,Private,0
S005220,20,Female,IT,1,5.9,58.6,No,16.7,Graduate,<2L,Not Placed,No,5.6,5.5,55,0,Offline,1,No,Private,1
S005221,22,Male,CSE,1,7.3,71.6,No,15.5,Postgraduate,2-5L,Not Placed,No,5.9,5.6,65,0,Hybrid,0,Yes,Public,0
S005222,20,Male,ME,2,7.37,70.1,No,8.5,Graduate,2-5L,Not Placed,Yes,5.7,8.1,49,1,Offline,0,Yes,Junior College,0
S005223,20,Male,CE,4,6.95,75.2,No,5.7,High School,2-5L,Not Placed,No,6.1,6.4,51,1,Offline,1,No,Private,0
S005224,19,Male,CSE,4,8.07,74.2,No,19.4,Graduate,<2L,Not Placed,No,5.1,7.2,65,1,Offline,0,Yes,Private,0
S005225,21,Male,ME,2,5.9,75.8,No,5.9,Postgraduate,2-5L,Not Placed,Yes,3.9,6.1,58,0,Hybrid,1,Yes,Junior College,0
S005226,20,Male,AEIE,3,7.12,77.0,Yes,8.2,Graduate,2-5L,Not Placed,No,5.5,8.3,57,1,Offline,1,Yes,Public,0
S005227,18,Female,ME,2,6.05,62.6,No,5.9,Graduate,2-5L,Not Placed,No,2.2,6.2,58,0,Online,1,No,Public,0
S005228,19,Male,ECE,3,7.32,77.8,Yes,17.0,No formal,5-10L,Not Placed,No,5.0,6.5,65,2,Hybrid,0,No,Private,0
S005229,18,Female,CSE,4,6.8,77.3,No,4.8,High School,<2L,Not Placed,Yes,6.2,5.3,74,1,Offline,4,Yes,Private,1
S005230,21,Male,EEE,2,6.74,65.9,No,8.3,Postgraduate,<2L,Not Placed,No,3.0,7.1,71,0,Offline,1,No,Public,0
S005231,23,Male,CSE,4,7.24,70.3,No,18.1,High School,<2L,Not Placed,No,6.2,8.2,74,0,Hybrid,1,Yes,Public,0
S005232,21,Female,CSE,1,5.49,83.3,No,0.8,High School,2-5L,Not Placed,No,3.7,3.8,69,2,Offline,0,Yes,Public,1
S005233,17,Female,EEE,1,7.89,74.1,No,4.4,Graduate,2-5L,Not Placed,No,8.9,5.7,67,1,Online,2,Yes,Public,0
S005234,22,Female,ECE,3,7.34,84.3,No,3.3,High School,2-5L,Not Placed,Yes,5.4,3.5,52,0,Online,0,Yes,Public,0
S005235,21,Female,CSE,3,7.96,90.8,No,6.1,Postgraduate,<2L,Not Placed,Yes,4.6,9.3,76,0,Hybrid,0,No,Public,0
S005236,20,Male,CSE,4,7.33,68.5,No,20.4,Professional,2-5L,Not Placed,No,0.8,8.4,56,1,Offline,0,Yes,Private,0
S005237,18,Female,CE,3,7.58,87.1,No,19.2,No formal,2-5L,Not Placed,No,2.0,5.7,75,1,Hybrid,3,Yes,Public,0
S005238,21,Female,ME,2,7.86,79.8,No,12.0,Graduate,2-5L,Not Placed,No,5.9,4.3,74,0,Offline,1,Yes,Public,0
S005239,19,Male,EEE,2,7.04,74.4,No,3.9,High School,<2L,Not Placed,No,8.2,4.8,64,0,Offline,1,Yes,Public,0
S005240,16,Male,IT,4,6.89,72.8,No,5.1,High School,2-5L,Placed,Yes,7.8,7.1,55,0,Hybrid,2,Yes,Private,0
S005241,24,Female,IT,4,8.55,83.9,No,15.7,High School,2-5L,Not Placed,Yes,5.4,5.8,54,0,Offline,0,No,Public,0
S005242,18,Male,ECE,1,6.32,80.2,No,2.7,High School,2-5L,Not Placed,No,4.5,2.4,66,0,Offline,1,Yes,Public,0
S005243,21,Male,ECE,4,6.09,68.1,No,5.5,Graduate,<2L,Placed,Yes,3.5,6.3,70,0,Offline,0,No,Public,0
S005244,21,Male,ME,3,9.19,72.4,No,6.1,Graduate,2-5L,Not Placed,Yes,9.3,6.5,69,1,Hybrid,1,Yes,Public,1
S005245,19,Male,Civil,2,7.48,79.4,No,5.8,No formal,<2L,Not Placed,No,5.9,4.9,62,0,Hybrid,0,Yes,Public,0
S005246,19,Male,CE,1,6.76,79.5,Yes,8.7,Graduate,>20L,Not Placed,No,5.5,2.1,70,0,Online,0,Yes,Private,0
S005247,21,Male,AEIE,4,6.81,90.4,No,6.0,Postgraduate,10-20L,Placed,No,4.1,7.6,67,0,Offline,2,Yes,Private,0
S005248,19,Female,Civil,2,8.67,80.5,No,2.1,Postgraduate,10-20L,Not Placed,No,3.5,5.9,62,1,Online,0,Yes,Public,0
S005249,18,Male,IT,1,7.33,72.3,No,5.9,Postgraduate,>20L,Not Placed,No,7.4,6.7,53,1,Offline,0,Yes,Private,1
S005250,18,Male,AEIE,1,6.64,68.8,No,10.2,High School,2-5L,Not Placed,Yes,3.4,9.5,67,0,Offline,1,No,Public,0
S005251,16,Male,AEIE,3,6.88,79.9,No,4.9,Postgraduate,<2L,Not Placed,No,5.2,6.0,58,1,Hybrid,0,Yes,Public,0
S005252,18,Male,Civil,3,7.45,88.3,Yes,15.9,Graduate,5-10L,Not Placed,No,3.6,4.3,73,0,Offline,0,No,Junior College,0
S005253,20,Female,CE,4,6.4,80.9,No,13.7,High School,<2L,Placed,Yes,5.4,5.2,53,0,Offline,0,Yes,Private,0
S005254,18,Male,AEIE,2,6.04,81.5,No,10.0,Graduate,2-5L,Not Placed,Yes,7.6,4.6,39,1,Offline,1,No,Private,0
S005255,19,Male,IT,3,7.35,93.1,No,7.2,Professional,<2L,Not Placed,No,8.5,9.1,67,0,Offline,0,No,Private,1
S005256,21,Male,Civil,3,7.08,84.8,No,9.0,Postgraduate,5-10L,Not Placed,No,4.2,8.8,50,0,Offline,1,No,Private,1
S005257,24,Male,ECE,2,7.8,78.0,No,3.2,High School,5-10L,Placed,No,8.3,6.4,52,0,Offline,0,Yes,Public,0
S005258,20,Male,AEIE,4,7.51,72.3,Yes,0.9,High School,2-5L,Placed,No,6.4,5.8,51,3,Offline,1,No,Private,1
S005259,20,Male,ME,4,7.56,68.2,No,9.1,High School,>20L,Placed,No,5.3,6.6,59,1,Offline,0,Yes,Public,0
S005260,21,Male,IT,1,6.69,72.7,No,3.3,High School,<2L,Not Placed,No,5.8,7.9,82,2,Offline,1,Yes,Private,0
S005261,19,Male,AEIE,2,7.43,67.6,No,6.1,Professional,10-20L,Not Placed,No,6.8,5.5,63,2,Online,0,Yes,Private,0
S005262,19,Male,ME,2,8.23,65.3,No,2.4,Graduate,<2L,Not Placed,Yes,5.0,7.0,51,1,Offline,2,Yes,Junior College,1
S005263,21,Female,Civil,4,7.14,82.4,No,18.3,No formal,5-10L,Partially Placed,No,2.5,8.3,77,0,Offline,1,No,Private,0
S005264,18,Male,CE,4,7.99,70.7,Yes,6.4,Graduate,2-5L,Placed,Yes,3.9,7.7,53,2,Offline,1,Yes,Private,1
S005265,18,Female,ECE,3,6.71,72.1,Yes,0.4,High School,5-10L,Not Placed,Yes,4.8,9.5,62,0,Offline,0,No,Private,0
S005266,16,Male,IT,4,6.78,79.8,No,15.8,High School,<2L,Placed,No,3.0,3.4,81,2,Offline,0,Yes,Public,0
S005267,20,Male,ME,4,7.77,76.6,Yes,12.3,Postgraduate,5-10L,Not Placed,Yes,2.9,7.8,75,1,Offline,0,No,Public,0
S005268,21,Female,ME,1,6.53,74.6,No,1.5,High School,10-20L,Not Placed,Yes,4.5,5.1,66,0,Online,0,No,Public,0
S005269,19,Male,IT,1,5.73,88.7,No,18.9,High School,<2L,Not Placed,No,4.6,4.4,69,1,Offline,1,Yes,Private,0
S005270,20,Female,IT,3,7.01,76.4,No,24.1,High School,2-5L,Not Placed,No,6.0,5.6,65,2,Offline,1,Yes,Public,0
S005271,20,Male,EEE,2,6.01,51.8,No,24.5,Graduate,10-20L,Not Placed,No,7.4,5.9,56,0,Offline,0,Yes,Public,0
S005272,20,Male,ECE,2,7.14,70.4,No,11.7,Postgraduate,10-20L,Not Placed,No,6.5,6.1,89,0,Hybrid,2,Yes,Private,0
S005273,18,Female,CSE,2,7.13,69.5,No,7.1,High School,10-20L,Not Placed,No,5.7,8.9,87,1,Hybrid,0,Yes,Public,0
S005274,19,Male,CE,2,7.83,85.2,No,0.1,Postgraduate,2-5L,Not Placed,No,6.6,5.7,66,0,Offline,1,Yes,Private,0
S005275,19,Female,ECE,2,5.61,87.0,No,7.7,Postgraduate,>20L,Not Placed,Yes,1.9,5.1,51,0,Offline,1,No,Public,0
S005276,22,Male,CE,1,6.26,80.9,No,8.5,Postgraduate,2-5L,Not Placed,Yes,3.3,7.9,58,0,Offline,3,Yes,Public,0
S005277,18,Female,Civil,1,7.04,69.9,No,20.3,High School,2-5L,Not Placed,No,5.3,8.8,60,0,Offline,0,Yes,Public,0
S005278,19,Male,EEE,4,8.09,80.6,No,3.9,High School,5-10L,Not Placed,Yes,3.5,8.1,82,1,Online,0,Yes,Private,0
S005279,20,Male,AEIE,4,7.45,66.8,No,2.5,Graduate,<2L,Partially Placed,No,7.0,5.1,51,0,Online,0,Yes,Public,0
S005280,19,Male,IT,1,6.9,79.0,No,8.3,Postgraduate,2-5L,Not Placed,No,5.5,6.6,41,0,Offline,0,Yes,Public,0
S005281,20,Male,EEE,2,6.12,78.3,No,4.3,Graduate,5-10L,Not Placed,No,5.4,6.7,58,0,Offline,0,Yes,Private,1
S005282,19,Male,CSE,4,7.68,69.5,No,22.6,Graduate,2-5L,Not Placed,No,5.3,7.6,69,0,Offline,1,Yes,Public,0
S005283,19,Male,ECE,3,6.22,73.8,No,11.1,Postgraduate,2-5L,Not Placed,No,7.4,8.6,63,0,Offline,0,Yes,Private,1
S005284,21,Male,EEE,1,7.86,88.1,No,9.5,Graduate,<2L,Not Placed,Yes,2.6,6.0,66,0,Online,1,Yes,Public,0
S005285,20,Male,Civil,4,7.7,81.1,No,5.0,Professional,2-5L,Partially Placed,No,5.5,7.9,68,1,Online,1,Yes,Private,0
S005286,18,Male,IT,4,7.71,95.1,No,14.9,Postgraduate,5-10L,Not Placed,No,7.5,3.4,67,0,Online,0,Yes,Junior College,1
S005287,21,Male,ECE,1,7.59,71.7,No,11.6,High School,10-20L,Partially Placed,No,5.9,10.0,72,2,Hybrid,0,Yes,Junior College,0
S005288,17,Female,CE,3,6.36,87.3,No,6.6,Graduate,<2L,Placed,No,1.6,3.8,78,1,Hybrid,0,Yes,Public,0
S005289,19,Male,EEE,3,6.11,82.6,No,25.3,Graduate,5-10L,Not Placed,Yes,7.0,9.6,52,0,Online,0,Yes,Private,0
S005290,20,Male,IT,1,6.75,69.1,Yes,18.7,High School,2-5L,Not Placed,Yes,6.2,7.3,67,0,Online,1,Yes,Other,0
S005291,23,Male,CSE,3,6.99,81.1,No,5.9,Postgraduate,<2L,Not Placed,No,7.3,7.1,81,1,Offline,2,Yes,Public,1
S005292,19,Male,AEIE,4,7.56,87.3,No,7.4,Graduate,<2L,Not Placed,No,4.7,7.7,65,0,Offline,0,No,Private,0
S005293,21,Male,IT,1,7.19,71.0,No,3.0,Postgraduate,2-5L,Not Placed,No,6.7,6.3,73,1,Offline,0,Yes,Public,0
S005294,21,Female,CE,1,7.31,72.0,No,4.5,Graduate,5-10L,Placed,No,3.9,3.8,41,0,Offline,1,No,Public,1
S005295,22,Male,EEE,2,5.88,67.7,No,4.5,Professional,<2L,Not Placed,No,4.5,8.1,53,0,Online,0,Yes,Junior College,1
S005296,20,Male,CE,2,7.5,74.4,No,2.1,Postgraduate,<2L,Not Placed,No,8.2,7.1,66,0,Hybrid,1,No,Private,0
S005297,15,Female,EEE,1,7.15,70.1,No,30.3,No formal,2-5L,Not Placed,No,10.0,4.7,64,0,Hybrid,0,Yes,Public,0
S005298,21,Female,CE,3,6.4,67.1,No,8.7,High School,<2L,Not Placed,No,3.4,5.5,67,1,Online,0,No,Private,1
S005299,19,Male,IT,4,7.64,82.0,Yes,5.7,High School,5-10L,Not Placed,Yes,1.0,6.8,55,1,Offline,0,Yes,Other,1
